Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
05-DEC-2024,20MICRONS,256.60,270.35,-0.0522,0.0325,0.0327,0.6247
05-DEC-2024,21STCENMGM,99.30,97.11,0.0223,0.0206,0.0206,0.3936
05-DEC-2024,360ONE,1119.35,1128.40,-0.0081,0.0236,0.0236,0.4509
05-DEC-2024,3IINFOLTD,28.86,28.62,0.0084,0.0287,0.0287,0.5483
05-DEC-2024,3MINDIA,31278.85,30994.80,0.0091,0.0180,0.0179,0.3420
05-DEC-2024,3PLAND,60.05,62.63,-0.0421,0.0380,0.0380,0.7260
05-DEC-2024,500009,57.99,57.73,0.0045,0.0362,0.0361,0.6897
05-DEC-2024,500012,79.16,79.90,-0.0093,0.0278,0.0277,0.5292
05-DEC-2024,500014,7.15,7.21,-0.0084,0.0305,0.0305,0.5827
05-DEC-2024,500016,11.00,11.01,-0.0009,0.0316,0.0316,0.6037
05-DEC-2024,500028,38.45,36.85,0.0425,0.0306,0.0307,0.5865
05-DEC-2024,500058,15.59,15.41,0.0116,0.0297,0.0297,0.5674
05-DEC-2024,500068,17557.05,17705.10,-0.0084,0.0187,0.0187,0.3573
05-DEC-2024,500069,495.85,495.80,0.0001,0.0285,0.0285,0.5445
05-DEC-2024,500123,12907.50,13026.25,-0.0092,0.0234,0.0234,0.4471
05-DEC-2024,500142,9.77,9.35,0.0439,0.0416,0.0416,0.7948
05-DEC-2024,500143,259.05,272.65,-0.0512,0.0336,0.0337,0.6438
05-DEC-2024,500147,4915.20,4937.40,-0.0045,0.0333,0.0332,0.6343
05-DEC-2024,500159,160.10,161.00,-0.0056,0.0250,0.0249,0.4757
05-DEC-2024,500166,281.25,287.10,-0.0206,0.0274,0.0274,0.5235
05-DEC-2024,500168,1035.40,1035.35,0.0000,0.0123,0.0123,0.2350
05-DEC-2024,500170,35.10,35.50,-0.0113,0.0292,0.0291,0.5560
05-DEC-2024,500192,2.87,2.88,-0.0035,0.0284,0.0283,0.5407
05-DEC-2024,500202,12.00,11.99,0.0008,0.0400,0.0399,0.7623
05-DEC-2024,500213,679.90,694.80,-0.0217,0.0276,0.0276,0.5273
05-DEC-2024,500220,180.10,183.65,-0.0195,0.0334,0.0334,0.6381
05-DEC-2024,500239,26.17,25.63,0.0209,0.0280,0.0280,0.5349
05-DEC-2024,500240,167.85,167.95,-0.0006,0.0287,0.0286,0.5464
05-DEC-2024,500245,638.05,644.95,-0.0108,0.0247,0.0246,0.4700
05-DEC-2024,500246,144.95,142.00,0.0206,0.0357,0.0357,0.6820
05-DEC-2024,500248,9.47,9.29,0.0192,0.0329,0.0328,0.6266
05-DEC-2024,500264,162.30,163.60,-0.0080,0.0348,0.0348,0.6649
05-DEC-2024,500267,412.60,410.90,0.0041,0.0283,0.0282,0.5388
05-DEC-2024,500270,179.90,184.05,-0.0228,0.0280,0.0280,0.5349
05-DEC-2024,500277,10.28,10.28,0.0000,0.0303,0.0302,0.5770
05-DEC-2024,500285,61.54,61.60,-0.0010,0.0372,0.0371,0.7088
05-DEC-2024,500298,1309.00,1335.00,-0.0197,0.0339,0.0338,0.6457
05-DEC-2024,500306,138.40,134.05,0.0319,0.0375,0.0374,0.7145
05-DEC-2024,500307,429.80,430.15,-0.0008,0.0125,0.0124,0.2369
05-DEC-2024,500319,109.80,111.45,-0.0149,0.0345,0.0345,0.6591
05-DEC-2024,500322,141.20,138.45,0.0197,0.0259,0.0259,0.4948
05-DEC-2024,500346,58.12,58.59,-0.0081,0.0350,0.0349,0.6668
05-DEC-2024,500357,17.32,16.68,0.0377,0.0301,0.0301,0.5751
05-DEC-2024,500360,112.95,115.95,-0.0262,0.0338,0.0337,0.6438
05-DEC-2024,500365,45.95,43.20,0.0617,0.0285,0.0288,0.5502
05-DEC-2024,500370,74.36,74.91,-0.0074,0.0366,0.0365,0.6973
05-DEC-2024,500388,41.71,40.99,0.0174,0.0335,0.0335,0.6400
05-DEC-2024,500389,27.99,27.45,0.0195,0.0179,0.0179,0.3420
05-DEC-2024,500414,209.90,212.60,-0.0128,0.0306,0.0305,0.5827
05-DEC-2024,500421,20.35,20.00,0.0173,0.0252,0.0252,0.4814
05-DEC-2024,500422,44.91,43.15,0.0400,0.0376,0.0376,0.7183
05-DEC-2024,500426,3.05,3.11,-0.0195,0.0315,0.0315,0.6018
05-DEC-2024,500449,45.71,46.01,-0.0065,0.0308,0.0307,0.5865
05-DEC-2024,500450,583.10,556.00,0.0476,0.0293,0.0295,0.5636
05-DEC-2024,500458,29.53,28.96,0.0195,0.0363,0.0362,0.6916
05-DEC-2024,500672,1055.85,1057.15,-0.0012,0.0207,0.0206,0.3936
05-DEC-2024,501110,7.15,7.15,0.0000,0.0012,0.0012,0.0229
05-DEC-2024,501111,11.57,11.57,0.0000,0.0034,0.0034,0.0650
05-DEC-2024,501144,198.00,202.00,-0.0200,0.0174,0.0174,0.3324
05-DEC-2024,501261,322.40,322.40,0.0000,0.0064,0.0064,0.1223
05-DEC-2024,501270,1.34,1.34,0.0000,0.0017,0.0017,0.0325
05-DEC-2024,501298,7337.60,7277.05,0.0083,0.0268,0.0267,0.5101
05-DEC-2024,501311,11.39,10.85,0.0486,0.0295,0.0296,0.5655
05-DEC-2024,501314,1.21,1.21,0.0000,0.0468,0.0467,0.8922
05-DEC-2024,501351,134.50,141.55,-0.0511,0.0169,0.0173,0.3305
05-DEC-2024,501370,166.25,169.80,-0.0211,0.0353,0.0352,0.6725
05-DEC-2024,501386,11.73,11.73,0.0000,0.0168,0.0168,0.3210
05-DEC-2024,501391,896.10,896.30,-0.0002,0.0382,0.0381,0.7279
05-DEC-2024,501421,2893.05,2755.30,0.0488,0.0315,0.0316,0.6037
05-DEC-2024,501430,1936.00,1940.95,-0.0026,0.0311,0.0310,0.5923
05-DEC-2024,501477,525.90,525.90,0.0000,0.0340,0.0339,0.6477
05-DEC-2024,501622,88.20,84.00,0.0488,0.0317,0.0318,0.6075
05-DEC-2024,501630,24.48,24.48,0.0000,0.0040,0.0040,0.0764
05-DEC-2024,501700,14.91,14.98,-0.0047,0.0306,0.0305,0.5827
05-DEC-2024,501833,30.35,31.44,-0.0353,0.0319,0.0319,0.6094
05-DEC-2024,501848,132.60,135.40,-0.0209,0.0325,0.0325,0.6209
05-DEC-2024,501945,7.57,7.72,-0.0196,0.0113,0.0114,0.2178
05-DEC-2024,502015,44.94,44.99,-0.0011,0.0368,0.0367,0.7012
05-DEC-2024,502133,78.94,80.43,-0.0187,0.0254,0.0254,0.4853
05-DEC-2024,502250,492.10,518.00,-0.0513,0.0303,0.0304,0.5808
05-DEC-2024,502281,18.63,18.84,-0.0112,0.0252,0.0252,0.4814
05-DEC-2024,502294,44.00,44.35,-0.0079,0.0386,0.0385,0.7355
05-DEC-2024,502445,74.93,71.37,0.0487,0.0361,0.0362,0.6916
05-DEC-2024,502587,69.56,71.09,-0.0218,0.0252,0.0252,0.4814
05-DEC-2024,502589,144.75,151.40,-0.0449,0.0384,0.0384,0.7336
05-DEC-2024,502850,13.14,13.14,0.0000,0.0062,0.0062,0.1185
05-DEC-2024,502865,459.55,470.10,-0.0227,0.0341,0.0340,0.6496
05-DEC-2024,502873,132.45,129.15,0.0252,0.0310,0.0310,0.5923
05-DEC-2024,502893,103.80,103.00,0.0077,0.0334,0.0333,0.6362
05-DEC-2024,502901,151.00,148.50,0.0167,0.2703,0.2697,5.1526
05-DEC-2024,502933,221.90,221.00,0.0041,0.0284,0.0283,0.5407
05-DEC-2024,502958,6800.30,6721.20,0.0117,0.0239,0.0239,0.4566
05-DEC-2024,503092,34.64,33.00,0.0485,0.0318,0.0319,0.6094
05-DEC-2024,503127,5335.00,5356.50,-0.0040,0.0289,0.0289,0.5521
05-DEC-2024,503229,201.55,192.00,0.0485,0.0387,0.0388,0.7413
05-DEC-2024,503349,8482.30,8519.15,-0.0043,0.0337,0.0336,0.6419
05-DEC-2024,503622,7.35,7.35,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,503624,11.33,11.29,0.0035,0.0379,0.0378,0.7222
05-DEC-2024,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,503635,13.89,13.89,0.0000,0.0023,0.0023,0.0439
05-DEC-2024,503639,9.55,9.55,0.0000,0.0143,0.0143,0.2732
05-DEC-2024,503641,14.61,14.70,-0.0061,0.0289,0.0289,0.5521
05-DEC-2024,503657,25.51,26.03,-0.0202,0.0369,0.0369,0.7050
05-DEC-2024,503663,4.02,3.83,0.0484,0.0418,0.0418,0.7986
05-DEC-2024,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,503675,1.23,1.24,-0.0081,0.0370,0.0369,0.7050
05-DEC-2024,503681,223468.70,226533.30,-0.0136,0.7406,0.7388,14.1148
05-DEC-2024,503685,33.00,33.48,-0.0144,0.0333,0.0332,0.6343
05-DEC-2024,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,503772,61.42,61.42,0.0000,0.0363,0.0362,0.6916
05-DEC-2024,503776,56.01,58.89,-0.0501,0.0400,0.0401,0.7661
05-DEC-2024,503804,399.70,401.95,-0.0056,0.0208,0.0208,0.3974
05-DEC-2024,503816,103.46,101.44,0.0197,0.0345,0.0345,0.6591
05-DEC-2024,503837,19.75,20.15,-0.0201,0.0271,0.0271,0.5177
05-DEC-2024,503863,15.20,15.20,0.0000,0.0265,0.0265,0.5063
05-DEC-2024,504000,125.45,122.80,0.0214,0.0325,0.0324,0.6190
05-DEC-2024,504028,156.05,156.00,0.0003,0.0293,0.0292,0.5579
05-DEC-2024,504076,104.60,107.05,-0.0232,0.0375,0.0374,0.7145
05-DEC-2024,504080,1709.85,1635.00,0.0448,0.0342,0.0342,0.6534
05-DEC-2024,504084,2186.70,2143.85,0.0198,0.2150,0.2144,4.0961
05-DEC-2024,504092,80.68,79.85,0.0103,0.0290,0.0290,0.5540
05-DEC-2024,504093,470.00,469.85,0.0003,0.0264,0.0264,0.5044
05-DEC-2024,504132,877.75,875.00,0.0031,0.0280,0.0280,0.5349
05-DEC-2024,504176,652.25,626.65,0.0400,0.0314,0.0315,0.6018
05-DEC-2024,504180,74.95,75.44,-0.0065,0.0295,0.0294,0.5617
05-DEC-2024,504240,1086.00,1034.30,0.0488,0.0310,0.0311,0.5942
05-DEC-2024,504258,1320.40,1321.20,-0.0006,0.0269,0.0268,0.5120
05-DEC-2024,504273,22.95,22.50,0.0198,0.0322,0.0321,0.6133
05-DEC-2024,504340,8.82,8.99,-0.0191,0.0178,0.0178,0.3401
05-DEC-2024,504346,130.25,127.70,0.0198,0.0170,0.0170,0.3248
05-DEC-2024,504351,2.18,2.20,-0.0091,0.0229,0.0229,0.4375
05-DEC-2024,504356,11.49,10.51,0.0891,0.0453,0.0457,0.8731
05-DEC-2024,504365,4.11,4.11,0.0000,0.0012,0.0012,0.0229
05-DEC-2024,504369,0.79,0.80,-0.0126,0.0102,0.0102,0.1949
05-DEC-2024,504375,93.76,93.76,0.0000,0.0085,0.0085,0.1624
05-DEC-2024,504378,7.90,8.06,-0.0201,0.0380,0.0380,0.7260
05-DEC-2024,504380,69.77,68.50,0.0184,0.0261,0.0260,0.4967
05-DEC-2024,504392,70.94,68.83,0.0302,0.0341,0.0340,0.6496
05-DEC-2024,504605,3009.50,3001.10,0.0028,0.0321,0.0320,0.6114
05-DEC-2024,504646,454.00,458.00,-0.0088,0.0326,0.0325,0.6209
05-DEC-2024,504648,69.72,71.06,-0.0190,0.0406,0.0406,0.7757
05-DEC-2024,504731,119.95,124.10,-0.0340,0.0284,0.0284,0.5426
05-DEC-2024,504786,801.20,815.95,-0.0182,0.0294,0.0293,0.5598
05-DEC-2024,504810,104.00,105.90,-0.0181,0.0402,0.0401,0.7661
05-DEC-2024,504840,1856.85,1834.00,0.0124,0.0220,0.0220,0.4203
05-DEC-2024,504882,4489.80,4499.90,-0.0022,0.0298,0.0297,0.5674
05-DEC-2024,504903,49.51,49.94,-0.0086,0.0273,0.0272,0.5197
05-DEC-2024,504908,640.35,645.45,-0.0079,0.0371,0.0370,0.7069
05-DEC-2024,504959,3030.45,3006.00,0.0081,0.0231,0.0231,0.4413
05-DEC-2024,504961,89.87,92.23,-0.0259,0.0214,0.0215,0.4108
05-DEC-2024,504988,1375.00,1389.45,-0.0105,0.0303,0.0302,0.5770
05-DEC-2024,504998,0.44,0.44,0.0000,0.0254,0.0254,0.4853
05-DEC-2024,505036,2156.05,2169.10,-0.0060,0.0303,0.0302,0.5770
05-DEC-2024,505163,1518.35,1539.35,-0.0137,0.0318,0.0318,0.6075
05-DEC-2024,505212,185.20,176.40,0.0487,0.0319,0.0320,0.6114
05-DEC-2024,505216,2000.00,2000.00,0.0000,0.0272,0.0272,0.5197
05-DEC-2024,505232,1664.60,1661.70,0.0017,0.0263,0.0262,0.5006
05-DEC-2024,505250,121.00,121.00,0.0000,0.0344,0.0343,0.6553
05-DEC-2024,505285,629.55,642.35,-0.0201,0.0142,0.0143,0.2732
05-DEC-2024,505299,999.80,980.20,0.0198,0.0352,0.0351,0.6706
05-DEC-2024,505302,2329.00,2324.25,0.0020,0.0323,0.0323,0.6171
05-DEC-2024,505336,8.97,9.44,-0.0511,0.1501,0.1498,2.8619
05-DEC-2024,505343,2.31,2.20,0.0488,0.0302,0.0303,0.5789
05-DEC-2024,505358,252.15,252.70,-0.0022,0.0307,0.0306,0.5846
05-DEC-2024,505502,3.31,3.25,0.0183,0.0227,0.0227,0.4337
05-DEC-2024,505504,63.73,62.49,0.0196,0.0157,0.0157,0.2999
05-DEC-2024,505515,11.00,11.05,-0.0045,0.0342,0.0341,0.6515
05-DEC-2024,505520,2.54,2.42,0.0484,0.0058,0.0067,0.1280
05-DEC-2024,505523,0.83,0.84,-0.0120,0.0300,0.0299,0.5712
05-DEC-2024,505594,32.80,32.80,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,505650,18.45,18.07,0.0208,0.0356,0.0356,0.6801
05-DEC-2024,505681,679.95,662.50,0.0260,0.0223,0.0223,0.4260
05-DEC-2024,505685,9.19,9.19,0.0000,0.0552,0.0551,1.0527
05-DEC-2024,505690,1683.90,1626.50,0.0347,0.0359,0.0358,0.6840
05-DEC-2024,505693,14.56,14.68,-0.0082,0.0279,0.0278,0.5311
05-DEC-2024,505710,103.10,104.20,-0.0106,0.0279,0.0278,0.5311
05-DEC-2024,505712,234.45,232.25,0.0094,0.0348,0.0348,0.6649
05-DEC-2024,505725,1276.75,1276.45,0.0002,0.0185,0.0185,0.3534
05-DEC-2024,505729,83.12,82.97,0.0018,0.0294,0.0293,0.5598
05-DEC-2024,505737,953.35,955.25,-0.0020,0.0369,0.0368,0.7031
05-DEC-2024,505750,513.65,514.25,-0.0012,0.0334,0.0334,0.6381
05-DEC-2024,505807,1154.95,1100.00,0.0487,0.0314,0.0315,0.6018
05-DEC-2024,505827,392.45,397.40,-0.0125,0.0263,0.0262,0.5006
05-DEC-2024,505840,37.36,35.59,0.0485,0.0346,0.0347,0.6629
05-DEC-2024,505872,680.15,694.55,-0.0210,0.0302,0.0302,0.5770
05-DEC-2024,505890,3145.05,3127.65,0.0055,0.0235,0.0235,0.4490
05-DEC-2024,505893,1169.15,1143.75,0.0220,0.0371,0.0370,0.7069
05-DEC-2024,505978,4431.05,4390.75,0.0091,0.0283,0.0283,0.5407
05-DEC-2024,506003,61.07,61.00,0.0011,0.0363,0.0362,0.6916
05-DEC-2024,506105,78.98,79.92,-0.0118,0.0273,0.0272,0.5197
05-DEC-2024,506122,235.35,247.70,-0.0511,0.0358,0.0359,0.6859
05-DEC-2024,506128,170.45,174.05,-0.0209,0.0365,0.0364,0.6954
05-DEC-2024,506134,24.07,23.60,0.0197,0.0283,0.0283,0.5407
05-DEC-2024,506161,3.19,3.19,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,506166,267.05,267.05,0.0000,0.0126,0.0125,0.2388
05-DEC-2024,506178,17.01,17.01,0.0000,0.0030,0.0030,0.0573
05-DEC-2024,506180,219.80,209.35,0.0487,0.0149,0.0153,0.2923
05-DEC-2024,506186,59.75,59.99,-0.0040,0.0359,0.0358,0.6840
05-DEC-2024,506190,52.50,52.50,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,506196,4.25,4.25,0.0000,0.0007,0.0007,0.0134
05-DEC-2024,506260,216.80,216.45,0.0016,0.0268,0.0267,0.5101
05-DEC-2024,506365,92.34,93.82,-0.0159,0.0389,0.0388,0.7413
05-DEC-2024,506414,414.20,389.05,0.0626,0.0318,0.0320,0.6114
05-DEC-2024,506520,9.17,9.08,0.0099,0.0312,0.0312,0.5961
05-DEC-2024,506528,3688.80,3746.90,-0.0156,0.0298,0.0297,0.5674
05-DEC-2024,506530,1515.00,1442.95,0.0487,0.0297,0.0298,0.5693
05-DEC-2024,506532,807.25,804.45,0.0035,0.0232,0.0231,0.4413
05-DEC-2024,506543,10.65,10.52,0.0123,0.0329,0.0329,0.6286
05-DEC-2024,506597,460.60,464.90,-0.0093,0.0304,0.0303,0.5789
05-DEC-2024,506605,2759.25,2644.65,0.0424,0.0353,0.0354,0.6763
05-DEC-2024,506640,339.70,346.60,-0.0201,0.0345,0.0345,0.6591
05-DEC-2024,506685,525.00,535.15,-0.0191,0.0223,0.0223,0.4260
05-DEC-2024,506687,1651.40,1621.15,0.0185,0.0204,0.0204,0.3897
05-DEC-2024,506734,164.20,165.30,-0.0067,0.0281,0.0280,0.5349
05-DEC-2024,506808,94.78,94.26,0.0055,0.0309,0.0308,0.5884
05-DEC-2024,506852,41.37,42.50,-0.0269,0.0293,0.0293,0.5598
05-DEC-2024,506854,2220.15,2251.40,-0.0140,0.0295,0.0294,0.5617
05-DEC-2024,506858,69.02,67.10,0.0282,0.0319,0.0319,0.6094
05-DEC-2024,506879,337.25,342.95,-0.0168,0.0312,0.0311,0.5942
05-DEC-2024,506906,3.79,3.86,-0.0183,0.0454,0.0453,0.8655
05-DEC-2024,506919,165.50,165.85,-0.0021,0.0335,0.0334,0.6381
05-DEC-2024,506935,86.25,82.15,0.0487,0.0349,0.0349,0.6668
05-DEC-2024,506947,269.20,269.20,0.0000,0.0269,0.0268,0.5120
05-DEC-2024,506979,43.23,42.39,0.0196,0.0339,0.0339,0.6477
05-DEC-2024,506981,157.75,147.55,0.0668,0.0301,0.0304,0.5808
05-DEC-2024,507155,252.70,248.45,0.0170,0.0278,0.0278,0.5311
05-DEC-2024,507180,129.65,132.00,-0.0180,0.0356,0.0355,0.6782
05-DEC-2024,507265,167.90,164.75,0.0189,0.0657,0.0655,1.2514
05-DEC-2024,507300,1680.00,1700.40,-0.0121,0.0320,0.0319,0.6094
05-DEC-2024,507474,85.31,81.25,0.0488,0.0390,0.0390,0.7451
05-DEC-2024,507486,52.30,52.50,-0.0038,0.0330,0.0330,0.6305
05-DEC-2024,507498,72.83,69.37,0.0487,0.0299,0.0301,0.5751
05-DEC-2024,507515,19.92,19.90,0.0010,0.0312,0.0311,0.5942
05-DEC-2024,507530,19.08,19.08,0.0000,0.0049,0.0049,0.0936
05-DEC-2024,507598,145.60,147.65,-0.0140,0.0357,0.0356,0.6801
05-DEC-2024,507609,48.80,48.26,0.0111,0.0240,0.0240,0.4585
05-DEC-2024,507621,114.70,115.25,-0.0048,0.0269,0.0268,0.5120
05-DEC-2024,507645,13971.85,14109.50,-0.0098,0.0225,0.0224,0.4280
05-DEC-2024,507663,2.58,2.58,0.0000,0.0112,0.0112,0.2140
05-DEC-2024,507690,303.45,305.00,-0.0051,0.0314,0.0313,0.5980
05-DEC-2024,507753,116.55,117.50,-0.0081,0.0268,0.0267,0.5101
05-DEC-2024,507759,25.26,26.19,-0.0362,0.0365,0.0365,0.6973
05-DEC-2024,507808,20.03,19.08,0.0486,0.0202,0.0204,0.3897
05-DEC-2024,507813,122.20,125.10,-0.0235,0.0322,0.0322,0.6152
05-DEC-2024,507817,217.45,217.45,0.0000,0.0363,0.0362,0.6916
05-DEC-2024,507828,16.73,16.35,0.0230,0.0341,0.0341,0.6515
05-DEC-2024,507833,6.53,6.61,-0.0122,0.0339,0.0338,0.6457
05-DEC-2024,507836,590.00,575.70,0.0245,0.0285,0.0285,0.5445
05-DEC-2024,507852,41.22,41.31,-0.0022,0.0282,0.0281,0.5368
05-DEC-2024,507864,63.48,62.60,0.0140,0.0317,0.0317,0.6056
05-DEC-2024,507872,69.21,66.41,0.0413,0.0312,0.0312,0.5961
05-DEC-2024,507912,220.60,221.15,-0.0025,0.0277,0.0276,0.5273
05-DEC-2024,507917,146.40,143.55,0.0197,0.0202,0.0202,0.3859
05-DEC-2024,507938,6.49,6.49,0.0000,0.0128,0.0127,0.2426
05-DEC-2024,507944,899.05,922.50,-0.0257,0.0348,0.0348,0.6649
05-DEC-2024,507946,440.00,435.90,0.0094,0.0351,0.0350,0.6687
05-DEC-2024,507948,278.05,281.75,-0.0132,0.0273,0.0272,0.5197
05-DEC-2024,507952,3.15,3.15,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,507960,218.25,216.50,0.0081,0.0267,0.0267,0.5101
05-DEC-2024,507966,51.14,52.20,-0.0205,0.0334,0.0334,0.6381
05-DEC-2024,507970,51.00,48.64,0.0474,0.0383,0.0383,0.7317
05-DEC-2024,507981,106.60,104.55,0.0194,0.0315,0.0315,0.6018
05-DEC-2024,507987,3.45,3.45,0.0000,0.0025,0.0025,0.0478
05-DEC-2024,507998,167.75,170.35,-0.0154,0.0328,0.0328,0.6266
05-DEC-2024,508136,538.70,521.45,0.0325,0.0318,0.0318,0.6075
05-DEC-2024,508486,8397.85,8399.55,-0.0002,0.0167,0.0167,0.3191
05-DEC-2024,508494,61.45,62.10,-0.0105,0.0291,0.0291,0.5560
05-DEC-2024,508571,161.70,161.70,0.0000,0.0303,0.0303,0.5789
05-DEC-2024,508664,17.55,17.12,0.0248,0.0255,0.0255,0.4872
05-DEC-2024,508670,4469.00,4500.00,-0.0069,0.0218,0.0217,0.4146
05-DEC-2024,508807,948.30,950.75,-0.0026,0.0206,0.0205,0.3917
05-DEC-2024,508875,707.70,711.10,-0.0048,0.0310,0.0309,0.5903
05-DEC-2024,508905,93.63,94.47,-0.0089,0.0343,0.0342,0.6534
05-DEC-2024,508918,36.66,34.92,0.0486,0.0356,0.0357,0.6820
05-DEC-2024,508922,7.49,7.50,-0.0013,0.0317,0.0316,0.6037
05-DEC-2024,508941,624.15,628.00,-0.0061,0.0222,0.0222,0.4241
05-DEC-2024,508954,102.39,97.52,0.0487,0.0363,0.0363,0.6935
05-DEC-2024,508956,16.61,16.90,-0.0173,0.0327,0.0327,0.6247
05-DEC-2024,508961,203.65,207.80,-0.0202,0.0234,0.0234,0.4471
05-DEC-2024,508963,31.49,32.13,-0.0201,0.0315,0.0315,0.6018
05-DEC-2024,508969,5.20,5.14,0.0116,0.0273,0.0272,0.5197
05-DEC-2024,508980,19.51,19.06,0.0233,0.0312,0.0312,0.5961
05-DEC-2024,508993,2.45,2.45,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,509003,0.13,0.13,0.0000,0.0000,0.0000,0.0000
05-DEC-2024,509015,35.16,34.30,0.0248,0.0222,0.0222,0.4241
05-DEC-2024,509026,94.90,96.00,-0.0115,0.0293,0.0292,0.5579
05-DEC-2024,509038,14.46,14.45,0.0007,0.0151,0.0151,0.2885
05-DEC-2024,509040,201.60,194.45,0.0361,0.0406,0.0406,0.7757
05-DEC-2024,509046,62.01,65.27,-0.0512,0.0173,0.0176,0.3362
05-DEC-2024,509051,1.37,1.39,-0.0145,0.0279,0.0279,0.5330
05-DEC-2024,509053,10.78,10.88,-0.0092,0.0338,0.0337,0.6438
05-DEC-2024,509073,19.30,19.49,-0.0098,0.0247,0.0247,0.4719
05-DEC-2024,509084,94.50,94.50,0.0000,0.0292,0.0291,0.5560
05-DEC-2024,509162,192.40,190.65,0.0091,0.0319,0.0318,0.6075
05-DEC-2024,509196,95.18,94.96,0.0023,0.0295,0.0295,0.5636
05-DEC-2024,509423,41.30,41.61,-0.0075,0.0331,0.0330,0.6305
05-DEC-2024,509438,8166.65,8129.35,0.0046,0.0209,0.0209,0.3993
05-DEC-2024,509449,54.00,55.45,-0.0265,0.0347,0.0347,0.6629
